,device_id,fire,location,mq2,time
0,fire_gas_01,0.0,indoor,7.055664,2025-05-08 08:20:00.023731
1,fire_gas_01,0.0,indoor,7.006836,2025-05-08 08:20:01.022964
2,fire_gas_01,0.0,indoor,6.884766,2025-05-08 08:20:02.022433
3,fire_gas_01,0.0,indoor,7.055664,2025-05-08 08:20:03.025575
4,fire_gas_01,0.0,indoor,6.787109,2025-05-08 08:20:04.022738
5,fire_gas_01,0.0,indoor,6.884766,2025-05-08 08:20:05.022609
6,fire_gas_01,0.0,indoor,6.640625,2025-05-08 08:20:06.022162
7,fire_gas_01,0.0,indoor,6.958008,2025-05-08 08:20:07.022691
8,fire_gas_01,0.0,indoor,7.03125,2025-05-08 08:20:08.023425
9,fire_gas_01,0.0,indoor,6.90918,2025-05-08 08:20:09.023620
10,fire_gas_01,0.0,indoor,6.787109,2025-05-08 08:20:10.022598
11,fire_gas_01,0.0,indoor,6.982422,2025-05-08 08:20:11.023738
12,fire_gas_01,0.0,indoor,4.248047,2025-05-08 08:08:27.810167
13,fire_gas_01,0.0,indoor,4.296875,2025-05-08 08:08:30.023972
14,fire_gas_01,0.0,indoor,4.02832,2025-05-08 08:08:31.020649
15,fire_gas_01,0.0,indoor,4.272461,2025-05-08 08:08:32.022736
16,fire_gas_01,0.0,indoor,3.90625,2025-05-08 08:08:33.021023
17,fire_gas_01,0.0,indoor,4.199219,2025-05-08 08:08:34.021181
18,fire_gas_01,0.0,indoor,3.466797,2025-05-08 08:08:35.021412
19,fire_gas_01,0.0,indoor,4.077148,2025-05-08 08:08:36.021881
20,fire_gas_01,0.0,indoor,4.56543,2025-05-08 08:08:37.022347
21,fire_gas_01,0.0,indoor,3.90625,2025-05-08 08:08:38.022835
22,fire_gas_01,0.0,indoor,4.223633,2025-05-08 08:08:39.020833
23,fire_gas_01,0.0,indoor,3.881836,2025-05-08 08:08:40.022386
24,fire_gas_01,0.0,indoor,4.223633,2025-05-08 08:08:41.023949
